M__DEPTH	PERM	POR	DEN	SO	SW
2062	0.84	9.7	2.64	6.4	51.4
2063	6.46	12.7	2.67	0	22
2064	83	17.2	2.66	0	50.8
2065	123	22	2.66	0.5	51.9
2066	68	21.3	2.66	1.1	52.4
2067	10	17.3	2.67	4.1	49.8
2068	0.11	9.1	2.73	0	72.4
2069	92	21.2	2.66	4.9	56.6
2070	31	20.1	2.66	0.6	61.9
2071	38	20.3	2.66	5.1	59.9
2072	55	20.8	2.67	3.5	51.7
2073	43	20.3	2.66	1.1	55
2074	25	19.9	2.78	2.9	44.5
2075	157	25.1	2.68	3.5	52.3
2076	95	22.5	2.67	3.8	45.2
2077	71	21.3	2.66	3.7	48.6
2078	64	21.1	2.67	2.6	52.2
2079	12	19.2	2.7	3.2	47.8
2080	0.05	12.7	2.67	1	81.7
2081	0.8	11.2	2.69	1.1	89.9
3051	2.26	17.2	2.67		
3052	0.53	2.3	3.17		
3053	0.19	13	2.68		
3054	0.87	14.9	2.66		
3055	3.67	17.5	2.66		
3056	0.69	14.1	2.67		
3057	4.19	16.4	2.68		
3058	13	18.9	2.64		
3059	6.69	17.8	2.67		
3060	20	19.5	2.66		
3061	8.66	17.1	2.67		
3062	25	19.8	2.66		
3063	8.94	18.3	2.65		
3064	1.42	14.8	2.67		
3065	0.4	11.9	2.72		
3066	4.95	17.2	2.65		
3067	6.53	16.4	2.09		
3068	13	18.3	2.69		
3069	20	19.1	2.65		
3070	0.63	15.8	2.67		
3071	0.6	16	2.66		
3072	0.57	15.6	2.67		
3073	0.33	14	2.69		
3074	0.28	14	2.67		
3075	0.07	9.2	2.68		
3076	0.09	19.6	2.66		
3077	1.41	16.6	2.67		
3078	1.53	16	2.74		
3079	1.19	17.1	2.66		
3080	0.75	17	2.67		
3081	1.11	17.4	2.67		
3082	0.33	14.7	2.67		
3083	0.07	12.4	2.77		
3084	0.17	12.9	2.67		
3085	0.14	13.5	2.68		
3086	0.19	13.5	2.68		
3087	4.8	3.12			
3088	0.09	11.5	2.67		
3089	0.28	15.5	2.68		
3090	0.31	15.7	2.67		
3091	0.16	13.5	2.68		
3092	0.24	15.2	2.69		
3093	0.09	11.5	2.67		
3094	0.07	10.5	2.67		
3095	0.14	11.5	2.67		
3096	0.09	11.9	2.67		
